index,stock
NIFTY 500,AEGISLOG.NS
NIFTY 500,AFCONS.NS
NIFTY 500,AFFLE.NS
NIFTY 500,AJANTPHARM.NS
NIFTY 500,AKUMS.NS
NIFTY 500,APLLTD.NS
NIFTY 500,ALIVUS.NS
NIFTY 500,ALKEM.NS
NIFTY 500,ALKYLAMINE.NS
NIFTY 500,ALOKINDS.NS
NIFTY 500,ARE&M.NS
NIFTY 500,AMBER.NS
NIFTY 500,AMBUJACEM.NS
NIFTY 500,ANANDRATHI.NS
NIFTY 500,ANANTRAJ.NS
NIFTY 500,ANGELONE.NS
NIFTY 500,APARINDS.NS
NIFTY 500,APOLLOHOSP.NS
NIFTY 500,APOLLOTYRE.NS
NIFTY 500,APTUS.NS
NIFTY 500,ASAHIINDIA.NS
NIFTY 500,ASHOKLEY.NS
NIFTY 500,ASIANPAINT.NS
NIFTY 500,ASTERDM.NS
NIFTY 500,ASTRAZEN.NS
NIFTY 500,ASTRAL.NS
NIFTY 500,ATUL.NS
NIFTY 500,AUROPHARMA.NS
NIFTY 500,AIIL.NS
NIFTY 500,DMART.NS
NIFTY 500,AXISBANK.NS
NIFTY 500,BASF.NS
NIFTY 500,BEML.NS
NIFTY 500,BLS.NS
NIFTY 500,BSE.NS
NIFTY 500,BAJAJ-AUTO.NS
NIFTY 500,BAJFINANCE.NS
NIFTY 500,BAJAJFINSV.NS
NIFTY 500,BAJAJHLDNG.NS
NIFTY 500,BAJAJHFL.NS
NIFTY 500,BALKRISIND.NS
NIFTY 500,BALRAMCHIN.NS
NIFTY 500,BANDHANBNK.NS
NIFTY 500,BANKBARODA.NS
NIFTY 500,BANKINDIA.NS
NIFTY 500,MAHABANK.NS
NIFTY 500,BATAINDIA.NS
NIFTY 500,BAYERCROP.NS
NIFTY 500,BERGEPAINT.NS
NIFTY 500,BDL.NS
NIFTY 500,BEL.NS
NIFTY 500,BHARATFORG.NS
NIFTY 500,BHEL.NS
NIFTY 500,BPCL.NS
NIFTY 500,BHARTIARTL.NS
NIFTY 500,BHARTIHEXA.NS
NIFTY 500,BIKAJI.NS
NIFTY 500,BIOCON.NS
NIFTY 500,BSOFT.NS
NIFTY 500,BLUEDART.NS
NIFTY 500,BLUESTARCO.NS
NIFTY 500,BBTC.NS
NIFTY 500,BOSCHLTD.NS
NIFTY 500,FIRSTCRY.NS
NIFTY 500,BRIGADE.NS
NIFTY 500,BRITANNIA.NS
NIFTY 500,MAPMYINDIA.NS
NIFTY 500,CCL.NS
NIFTY 500,CESC.NS
NIFTY 500,CGPOWER.NS
NIFTY 500,CRISIL.NS
NIFTY 500,CAMPUS.NS
NIFTY 500,CANFINHOME.NS
NIFTY 500,CANBK.NS
NIFTY 500,CAPLIPOINT.NS
NIFTY 500,CGCL.NS
NIFTY 500,CARBORUNIV.NS
NIFTY 500,CASTROLIND.NS
NIFTY 500,CEATLTD.NS
NIFTY 500,CENTRALBK.NS
NIFTY 500,CDSL.NS
NIFTY 500,CENTURYPLY.NS
NIFTY 500,CERA.NS
NIFTY 500,CHALET.NS
NIFTY 500,CHAMBLFERT.NS
NIFTY 500,CHENNPETRO.NS
NIFTY 500,CHOLAHLDNG.NS
NIFTY 500,CHOLAFIN.NS
NIFTY 500,CIPLA.NS
NIFTY 500,CUB.NS
NIFTY 500,CLEAN.NS
NIFTY 500,COALINDIA.NS
NIFTY 500,COCHINSHIP.NS
NIFTY 500,COFORGE.NS
NIFTY 500,COHANCE.NS
NIFTY 500,COLPAL.NS
NIFTY 500,CAMS.NS
NIFTY 500,CONCORDBIO.NS
NIFTY 500,CONCOR.NS
NIFTY 500,COROMANDEL.NS
NIFTY 500,CRAFTSMAN.NS
NIFTY 500,CREDITACC.NS
NIFTY 500,CROMPTON.NS
NIFTY 500,CUMMINSIND.NS
NIFTY 500,CYIENT.NS
NIFTY 500,DCMSHRIRAM.NS
NIFTY 500,DLF.NS
NIFTY 500,DOMS.NS
NIFTY 500,DABUR.NS
NIFTY 500,DALBHARAT.NS
NIFTY 500,DATAPATTNS.NS
NIFTY 500,DEEPAKFERT.NS
NIFTY 500,DEEPAKNTR.NS
NIFTY 500,DELHIVERY.NS
NIFTY 500,DEVYANI.NS
NIFTY 500,DIVISLAB.NS
NIFTY 500,DIXON.NS
NIFTY 500,LALPATHLAB.NS
NIFTY 500,DRREDDY.NS
NIFTY 500,DUMMYRAYMN.NS
NIFTY 500,EIDPARRY.NS
NIFTY 500,EIHOTEL.NS
NIFTY 500,EICHERMOT.NS
NIFTY 500,ELECON.NS
NIFTY 500,ELGIEQUIP.NS
NIFTY 500,EMAMILTD.NS
NIFTY 500,EMCURE.NS
NIFTY 500,ENDURANCE.NS
