index,stock
NIFTY IT,TCS.NS
NIFTY IT,TECHM.NS
NIFTY IT,WIPRO.NS
NIFTY OIL & GAS,ATGL.NS
NIFTY OIL & GAS,AEGISLOG.NS
NIFTY OIL & GAS,BPCL.NS
NIFTY OIL & GAS,CASTROLIND.NS
NIFTY OIL & GAS,GAIL.NS
NIFTY OIL & GAS,GUJGASLTD.NS
NIFTY OIL & GAS,GSPL.NS
NIFTY OIL & GAS,HINDPETRO.NS
NIFTY OIL & GAS,IOC.NS
NIFTY OIL & GAS,IGL.NS
NIFTY OIL & GAS,MGL.NS
NIFTY OIL & GAS,ONGC.NS
NIFTY OIL & GAS,OIL.NS
NIFTY OIL & GAS,PETRONET.NS
NIFTY OIL & GAS,RELIANCE.NS
